,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
0,"#2506 -183 WELLINGTON ST W, Toronto, Ontario, M5V 0A1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,3.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,160.98000000000005,,"$2,565 Monthly",,"$2,890,000"
1,"#PH 1027 -55 STEWART ST, Toronto, Ontario, M5V 2V1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,3.0,,,Underground,,2.0,154.07000000000005,,"$2,254 Monthly",,"$2,680,000"
2,"#3703 -2045 LAKE SHORE BLVD W, Toronto, Ontario, M8V 2Z6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3,4.0,"Marina, Park, Public Transit",,Underground,,1.0,3292.01,Balcony,"$3,123 Monthly",,"$2,298,000"
3,"#1003 -410 QUEENS QUAY W, Toronto, Ontario, M5V 3T1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3,2.0,"Marina, Park, Public Transit",,"Underground, Visitor parking",,1.0,84.78999999999998,,"$1,201 Monthly",Community Centre,"$1,399,900"
4,"#4901 -2191 YONGE ST, Toronto, Ontario, M4S 3H8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,3.0,"Park, Public Transit, Schools",,Underground,,5.0,83.45,,$996 Monthly,,"$1,399,900"
5,"#1801 -210 VICTORIA  ST, Toronto, Ontario, M5B 2R3",Apartment,Apartment,,Concrete,,Shares in Co-operative,Single Family,2,3.0,"Hospital, Park, Public Transit",,Underground,,1.0,63.88999999999999,,"$1,176 Monthly",,"$1,399,000"
6,"#5507 -1 BLOOR ST E, Toronto, Ontario, M4W 1A9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit",,Underground,,1.0,,Balcony,$780 Monthly,,"$1,299,999"
7,"#713 -89 SKYMARK DR, Toronto, Ontario, M2H 3S6",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+2,3.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,117.64,"Conservation/green belt, Balcony","$1,112 Monthly",Community Centre,"$1,250,000"
8,"#TH2 -365 CHURCH ST, Toronto, Ontario, M4K 3V8",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2,3.0,,,Underground,,2.0,,Balcony,$657 Monthly,,"$1,249,990"
9,"#201 -70 ELMSTHORPE AVE, Toronto, Ontario, M5P 2L7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,86.98,Balcony,"$1,193 Monthly",Community Centre,"$1,199,000"
