,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
0,"28-30 LANGLEY AVE, Toronto, Ontario, M4K 1B5",Multiplex,Other,Finished,"Brick, Stone",,,Multi-family,8,25.0,"Park, Public Transit",60 x 119 FT,,1.0,,,,,,"$8,990,000"
1,"61 BALMORAL AVE, Toronto, Ontario, M4V 1J5",Detached,House,Finished,Stone,Yes,Freehold,Single Family,4,5.0,,25 x 107 FT,,1.0,3.0,141.25,,,,"$4,495,000"
2,"86 ROSEDALE HEIGHTS DR, Toronto, Ontario, M4T 1C5",Detached,House,Partially finished,"Brick, Stucco",Yes,Freehold,Single Family,5,4.0,,50 x 138 FT,Detached garage,6.0,3.0,181.86,,,,"$3,995,000"
3,"1217 AVENUE RD, Toronto, Ontario, M5N 2G5",Multiplex,Other,,Brick,Yes,,Multi-family,8+3,6.0,"Park, Public Transit, Schools",130 x 50.5 FT,Detached garage,4.0,2.0,140.17,,,,"$3,199,999"
4,"49 NORTHERN DANCER BLVD, Toronto, Ontario, M4L 3Z8",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+2,4.0,,23.98 x 106.66 FT,Detached garage,3.0,,,Lane,,,"$3,100,000"
5,"38 CASWELL DR, Toronto, Ontario, M2M 3M3",Detached,House,Finished,"Brick, Stone",,Freehold,Single Family,5+1,7.0,"Park, Public Transit, Schools",60 x 136.97 FT ; Slightly Narrower In The Back,Attached garage,6.0,2.0,238.7,,,,"$2,999,888"
6,"221 WILLOWDALE AVE, Toronto, Ontario, M2N 4Z4",Detached,House,Finished,Stone,Yes,Freehold,Single Family,4+3,6.0,"Park, Public Transit, Schools",45.17 x 146 FT ; Walking Distance To Sheppard & Yonge St,Garage,4.0,2.0,182.87,Level lot,,,"$2,998,000"
7,"94 LYNNHAVEN RD, Toronto, Ontario, M6A 2K9",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,5+2,6.0,"Hospital, Park",46 x 120 FT,Attached garage,6.0,2.0,216.28000000000003,Level lot,,,"$2,895,000"
8,"343 O'CONNOR DR, Toronto, Ontario, M4J 2V4",Fourplex,Multi-Family,,,,,Multi-family,,,"Highway, Public Transit",34 x 100 FT,,,,,,,,"$2,780,000"
9,"164 DUNN AVE, Toronto, Ontario, M6K 2R6",Detached,House,,Brick,,Freehold,Single Family,6+3,6.0,Public Transit,26.25 x 132 FT,,2.0,,,Lane,,,"$2,750,000"
10,"46 RAVENSCREST DR, Toronto, Ontario, M9B 5M7",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,4+1,5.0,"Park, Public Transit, Schools",50 x 167.25 FT ; Ravine Lot,Attached garage,1.0,3.0,194.66,Ravine,,,"$2,749,000"
11,"12 CHIPSTEAD RD, Toronto, Ontario, M3B 3E6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,"Hospital, Park, Public Transit, Schools",60 x 120 FT,Attached garage,6.0,2.0,163.88,Ravine,,Community Centre,"$2,698,000"
12,"1038 ROYAL YORK RD, Toronto, Ontario, M8X 2G4",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4+1,5.0,,40 x 120 FT,Garage,3.0,2.0,313.32,,,,"$2,598,000"
13,"5  LAKE SHORE DR, Toronto, Ontario, M8V 1Y9",Detached,House,,"Stucco, Wood",Yes,Freehold,Single Family,4+1,3.0,Public Transit,45.01 x 180 FT ; 48' At Water According To July/89 Survey,,2.0,2.0,134.50000000000003,,,,"$2,399,000"
14,"2464 BAYVIEW AVE, Toronto, Ontario, M2L 1A8",Townhouse,Row / Townhouse,Finished,Brick,Yes,Freehold,Single Family,3,5.0,"Park, Public Transit, Schools",18.5 x 71.7 FT,Garage,2.0,3.0,,,,,"$2,295,000"
15,"2460A BAYVIEW AVE, Toronto, Ontario, M2L 1A8",Townhouse,Row / Townhouse,Finished,Brick,Yes,Freehold,Single Family,3,5.0,"Park, Public Transit, Schools",18.5 x 71.7 FT,Garage,2.0,3.0,,,,,"$2,295,000"
16,"207 RONAN AVE, Toronto, Ontario, M4N 2Y7",Detached,House,Finished,Stucco,Yes,Freehold,Single Family,3+1,4.0,"Hospital, Park, Public Transit, Schools",25 x 149.93 FT,Garage,3.0,2.0,189.58,,,,"$2,095,000"
17,"74 SHAFTESBURY AVE, Toronto, Ontario, M4T 1A3",Townhouse,Row / Townhouse,Partially finished,Brick,Yes,Freehold,Single Family,2+2,2.0,,19.49 x 105.41 FT,,,3.0,170.63,,,,"$2,080,000"
18,"348 DUPONT ST, Toronto, Ontario, M5R 1V9",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,2.0,,18.67 x 90 FT,,1.0,3.0,,,,,"$1,999,000"
19,"575 FAIRLAWN AVE, Toronto, Ontario, M5M 1V7",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,4,4.0,,28 x 115 FT,Garage,3.0,2.0,145.29,,,,"$1,995,000"
20,"243 BROADVIEW AVE, Toronto, Ontario, M4M 2G6",,Other,Finished,Brick,,,Single Family,3+2,6.0,,17.52 x 100 FT,,2.0,,,Lane,,,"$1,988,000"
21,"143 D'ARCY ST, Toronto, Ontario, M5T 1K4",Townhouse,Row / Townhouse,,Stucco,,Freehold,Single Family,2+1,2.0,,17.04 x 34 FT,Garage,2.0,3.0,87.13000000000002,,,,"$1,950,000"
22,"521 SUTHERLAND DR, Toronto, Ontario, M4G 1K9",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools","30 x 135 FT ; Widens To 45 Ft. From 30 Ft, Irregular",Attached garage,5.0,2.0,112.59,Ravine,,Community Centre,"$1,949,000"
23,"9 BRENTWOOD AVE, Toronto, Ontario, M2N 2L6",Detached,House,,Stucco,Yes,Freehold,Single Family,4,2.0,,50 x 174.5 FT,Garage,7.0,,,,,,"$1,899,900"
24,"164 PRINCESS ANNE CRES, Toronto, Ontario, M9A 2R6",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,3+1,3.0,,77 x 120 FT,Attached garage,6.0,1.0,153.35,,,,"$1,849,000"
25,"8 BISSET AVE, Toronto, Ontario, M8W 2S8",Detached,House,Finished,Stone,Yes,Freehold,Single Family,5+1,4.0,,46.17 x 116.83 FT,Garage,5.0,2.0,,,,,"$1,799,900"
26,"30 TRUEMAN AVE, Toronto, Ontario, M8Z 5A2",Detached,House,Finished,"Stone, Stucco",,Freehold,Single Family,4+2,5.0,,41.01 x 122.16 FT,Garage,3.0,2.0,130.33,,,,"$1,795,000"
27,"341 WOBURN AVE, Toronto, Ontario, M5M 1L3",Semi-Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,3+1,3.0,,20 x 125 FT,Detached garage,2.0,2.0,86.87,,,,"$1,789,000"
28,"380 OLD ORCHARD GRVE, Toronto, Ontario, M5M 2E9",Semi-Detached,House,Finished,"Brick, Concrete",Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit",22.64 x 105 FT,,4.0,2.0,,,,Community Centre,"$1,699,888"
